Categories,id,Title,Content,ctl_story_order
"All Categories|All World Events|Major Categories|Major World Events",28,"Agriculture Develops",,-10000
"All Categories|All World Events|Major Categories|Major World Events",29,"Xia Dynasty (China)","c. 2,070 B.C.

The Xia dynasty possibly rules along the Yellow River in China.  Shrouded in mystery, myth, and legend, subsequent Chinese governments traced their history to the Xia dynasty.  No written records survive from this civilization, but some archeological evidence suggests the Xia dynasty may have been real.",-2070
"All Categories|All World Events|Major Categories|Major World Events",31,"Egypt, Old Kingdom",,-2686
"All Categories|All Religious Events|Major Categories|Major Religious Events",36,Crucifixion,"

",30
"All World Events|Major World Events",141,"Romans destroy Temple",,70
"All Categories|All Religious Events",142,"Marcion excommunicated",,144
"All Categories|All Religious Events",146,"Irenaeus - Against Heresies",,180
"All Categories|All People|Major Categories|Major People",149,Anselm,,1033
"All Categories|All People|Major Categories|Major People",153,Aristotle,,-384
"All Categories|All People|Major Categories|Major People",154,Arius,,256
"All Categories|All People|Major Categories|Major People",157,Athanasius,,293
"All Categories|All People|Major Categories|Major People",158,Augustine,,354
"All Categories|All Religious Events",159,"Origen begins teaching",,202
"All Categories|All Religious Events|Major Categories|Major Religious Events",160,"First Council of Nicaea",,325
"All Categories|All Religious Events|Major Categories|Major Religious Events",161,"First Council of Constantinople",,381
"All Categories|All Religious Events",163,"Council of Ephesus",,431
"All Categories|All Religious Events",1867,"Act of Abolishing Diversity of Opinion",,1539
"All Categories|All Ideas|All People|All Religious Events|All World Events|Major Categories|Major Ideas|Major People|Major Religious Events|Major World Events",1933,"16th CENTURY",,1501
"All Categories|All Ideas|All People|All Religious Events|All World Events|Major Categories|Major Ideas|Major People|Major Religious Events|Major World Events",1953,"10th CENTURY",,901
"All Categories|All Ideas|All People|All Religious Events|All World Events|Major Categories|Major Ideas|Major People|Major Religious Events|Major World Events",1955,"9th CENTURY",,801
"All Categories|All Ideas|All People|All Religious Events|All World Events|Major Categories|Major Ideas|Major People|Major Religious Events|Major World Events",1956,"8th CENTURY",,701
"All Categories|All Ideas|All People|All Religious Events|All World Events|Major Categories|Major Ideas|Major People|Major Religious Events|Major World Events",1957,"7th CENTURY",,601
"All Categories|All Ideas|All People|All Religious Events|All World Events|Major Categories|Major Ideas|Major People|Major Religious Events|Major World Events",1958,"6th CENTURY",,501
"All Categories|All Ideas|All People|All Religious Events|All World Events|Major Categories|Major Ideas|Major People|Major Religious Events|Major World Events",1959,"5th CENTURY",,401
"All Categories|All Ideas|All People|All Religious Events|All World Events|Major Categories|Major Ideas|Major People|Major Religious Events|Major World Events",1960,"4th CENTURY",,301
"All Categories|All Ideas|All People|All Religious Events|All World Events|Major Categories|Major Ideas|Major People|Major Religious Events|Major World Events",1961,"3rd CENTURY",,201
"All Categories|All Ideas|All People|All Religious Events|All World Events|Major Categories|Major Ideas|Major People|Major Religious Events|Major World Events",1962,"2nd CENTURY",,101
"All Categories|All Ideas|All People|All Religious Events|All World Events|Major Categories|Major Ideas|Major People|Major Religious Events|Major World Events",1963,"1st CENTURY",,01
"All Categories|All Ideas|All People|All Religious Events|All World Events|Major Categories|Major Ideas|Major People|Major Religious Events|Major World Events",1964,"11th CENTURY",,1001
"All Categories|All Ideas|All People|All Religious Events|All World Events|Major Categories|Major Ideas|Major People|Major Religious Events|Major World Events",1965,"12th CENTURY",,1101
"All Categories|All Ideas|All People|All Religious Events|All World Events|Major Categories|Major Ideas|Major People|Major Religious Events|Major World Events",1966,"13th CENTURY",,1201
"All Categories|All Ideas|All People|All Religious Events|All World Events|Major Categories|Major Ideas|Major People|Major Religious Events|Major World Events",1972,"14th CENTURY",,1301
"All Categories|All Ideas|All People|All Religious Events|All World Events|Major Categories|Major Ideas|Major People|Major Religious Events|Major World Events",1974,"15th CENTURY",,1401
"All Categories|All Ideas|All People|All Religious Events|All World Events|Major Categories|Major Ideas|Major People|Major Religious Events|Major World Events",1975,"17th CENTURY",,1601
"All Categories|All Ideas|All People|All Religious Events|All World Events|Major Categories|Major Ideas|Major People|Major Religious Events|Major World Events",1976,"18th CENTURY",,1701
"All Categories|All Ideas|All People|All Religious Events|All World Events|Major Categories|Major Ideas|Major People|Major Religious Events|Major World Events",1977,"19th CENTURY",,1801
"All Categories|All Ideas|All People|All Religious Events|All World Events|Major Categories|Major Ideas|Major People|Major Religious Events|Major World Events",1978,"20th CENTURY",,1901
"All Categories|All Ideas|All People|All Religious Events|All World Events|Major Categories|Major Ideas|Major People|Major Religious Events|Major World Events",1979,"21st CENTURY",,2001
"All Categories|All World Events|Major World Events",1984,"Horses Domesticated",,-3500
"All Categories|All World Events|Major Categories|Major World Events",1985,"Writing Developed","c. 3,500 B.C.

Writing, a medium of human communication representing languages and emotions through signs and symbols, develops independently in 4 different areas – Mesopotamia (c. 3,500 B.C.), Egypt (c. 3,100 B.C.), the Indus Valley (c. 2,600 B.C.), and the Yellow River (c. 1,700 B.C.).
",-3500
"All Categories|All World Events|Major Categories|Major World Events",1986,"The Bronze Age",,-3300
"All Categories|All World Events|Major Categories|Major World Events",1987,"Indus Valley Civilization",,-3300
"All Categories|All World Events|Major Categories|Major World Events",1988,Phoenicia,,-2500
"All Categories|All World Events|Major Categories|Major World Events",1989,"Akkadian Empire",,-2334
"All Categories|All World Events|Major Categories|Major World Events",1990,"Egypt, Old Kingdom Ends",,-2181
"All Categories|All World Events|Major Categories|Major World Events",1991,"Akkadian Empire Ends",,-2154
"All Categories|All World Events|Major Categories|Major World Events",1992,"Egypt, Kingdom of",,-2134
"All Categories|All World Events|Major Categories|Major World Events",1994,"Old Assyrian Empire",,-2025
"All Categories|All World Events|Major Categories|Major World Events",1995,"Chariot Developed",,-2000
"All Categories|All World Events|Major Categories|Major World Events",1996,"Babylonian Empire",,-1792
"All Categories|All World Events|Major Categories|Major World Events",1999,"Hyksos in Egypt",,-1650
"All Categories|All World Events|Major Categories|Major World Events",2000,"Hittite Empire",,-1600
"All Categories|All World Events|Major Categories|Major World Events",2001,"Mycenean Greek Civilization",,-1600
"All Categories|All World Events|Major Categories|Major World Events",2002,"Shang Dynasty (China)","c. 1,600 B.C.

The semi-mythical Xia Dynasty ends, and the Shang Dynasty arises to rule over the Yellow River Valley.

",-1600
"All Categories|All World Events|Major Categories|Major World Events",2003,Egypt,,-1550
"All Categories|All World Events|Major Categories|Major World Events",2004,"Vedic Period of India",,-1500
"All Categories|All World Events|Major Categories|Major World Events",2005,"Old Assyrian Empire Ends",,-1393
"All Categories|All World Events|Major Categories|Major World Events",2007,"Indus Valley Civilization Ends",,-1300
"All Categories|All World Events|Major Categories|Major World Events",2008,"Battle of Kadesh",,-1274
"All Categories|All World Events|Major Categories|Major World Events",2009,"The Iron Age","c. 1,200 B.C.

The Iron Age begins in the Ancient Near East, the Aegean, and India.  The Iron Age would begin later in Italy and the Balkans (c. 1,100 B.C.), Eastern Europe (c. 900 B.C.), Central Europe and Great Britain (c. 800 B.C.), Northern Europe and China (c. 500 B.C.).
",-1200
"All Categories|All World Events|Major Categories|Major World Events",2010,"Bronze Age Collapse",,-1200
"All Categories|All World Events|Major Categories|Major World Events",2011,"Hittite Empire Ends",,-1178
"Timeline Stories",2012,"Mycenaean Greece Ends","
",-1150
"All Categories|All World Events|Major Categories|Major World Events",2013,"Phoenician Expansion",,-1150
