id,Title,Content
96,"Against Heresies","A five volume book written by Irenaeus, bishop of Lyon, around AD 185 to combat the Gnostic influence in the Church.  It sets forth a three part test to establish true doctrine. 
"
98,aeons,"Some of the Gnostic sects used this Greek word to refer to spiritual principles beyond this world that made up a divine realm called Pleroma.
"
101,adiaphora,"A Greek word for “indifferent” that was used by Protestants to identify church practices which are not required for salvation or the Christian faith such as making the sign of the cross and knelling in church.  Luther referred to these practices as “free” because they should not affect a believer’s conscience.  However, serious controversies arose regarding how much the church, particularly state churches such as the Church of England, could enforce the performance of these practices.  
"
103,actualism,"A philosophical  term emphasizing that revelation is an event which was a defining characteristic of Karl Barth  and other the neo-Orthodox theologians.
"
107,"Act of Uniformity","1558 Act of Parliament under Queen Elizabeth’s reign obliging all English citizens to follow the <em>Book of Common Prayer</em> officially bringing back Protestant worship in England."
109,"Act of Supremacy","Act passed in 1534 by Parliament under Henry VIII’s direction declaring the king to be, “the only supreme head on earth of the Church of England,” affectively severing the Church in England from&nbsp;Rome.
"
111,"Act of Abolishing Diversity of Opinion","Act passed in 1539 by Parliament under Henry VIII’s direction to enforce unity under various Catholic dogmas opposed by Protestants such as: 1) transubstantiation, 2) only bread used in communion, 3) celibacy of the bishops, 4) validity of the vows of chastity, 5) efficacy of masses in benefit souls in purgatory, and 5) confession."
113,absolution,"Derived from a Latin word meaning “to loose” and is related to dissolve.  Broadly this word is equivalent to forgiveness of sins, but used specifically it it means the priest’s announcement in the Catholic sacrament of Penance that the penitent’s sins are forgiven when the priest pronounces the words, “I absolve you of your sins in the name of the Father, the Son, and the Holy Spirit.”
"
115,"Acacian Schism","a separation between the western church in Rome and the eastern church in the Byzantine empire that lasted 34 years between A.D. 484-519.
"
117,"Abrahamic Covenant","A covenant God made with Abraham that he would be the father of many nations, all of the nations of the earth would be blessed through his descendents, his descendents would inherit certain lands in and around Palestine,  Circumcision of all male descendents was given as a sign of this covenant and their obligation to worship the only one and true God.
"
241,agape,"Greek term meaning self-giving love that is often translated as charity in the Bible and refers to basic Christian love as distinguished from erotic love (eros, Greek for desire) and love for a friend (<em>philia</em>).  
"
243,aggiornamiento,"an Italian term meaning bringing up to date.  It was used extensively during the Second Vatican Council.
"
245,agility,"According to medieval theology, it is one of the four qualities of that glorified human bodies possess after the resurrection.  Agility refers to the body’s ability to practically instantaneously move anywhere the soul desires to be.  The other characteristics are clarity, impassibility, and subtlety."
247,agrapha,"Derived from the Greek word for “unwritten,” and is used to refer to sayings of Jesus that are not found in the New Testament but in writings from other sources.  "
249,Albigensians,"a group of Christians in southern France in the 12th and 13th centuries who were ruled heretics by the Catholic Church due to their independence from Rome and their dualistic belief regarding the divinity of spirit and depravity of the physical body similar to the Manichaeism influence in the early Church.  They were destroyed by a crusade waged against them between AD 1209-1229."
251,alienation,"projecting the essence of one thing to belong to something different.  This concept was used extensively by Hegel, Feuerbach, and Marx   Feuerbach believed that  humans project their essence to create God in their image, while Marx taught that humans become alienated from themselves by allowing the product of their labor to be sold by the capitalists.
"
254,"alien immersion","A branch of Baptists contend that even if an adult is baptized by immersion it is still invalid and needs to be re-performed unless the individual was baptized into a Baptist church.  This doctrine is associated with Landmarkism which seeks to establish set boundaries for true devotion.
"
256,Allah,"The Arabic word for God.  In a general sense, the Muslims’ one true God is the same God worshiped by Jews and Christians, but Muslims specifically deny the divinity of Christ and the Holy Spirit as part of the Trinity."
258,allegory,"A method of reading scripture involving figurative and symbolic meaning.  Greek philosophers, particularly Platonists, used allegorical interpretation to derive moral lessons from classical Greek epics that taken literally lacked moral substance.  Philo of Alexandria, a Jewish Platonist philosopher at the time of Christ, applied this approach to reading the Torah.  This approach was widely adopted by early Christian theologians, particularly those from the Alexandria school of theology verses the Antioch school which stress a more literal interpretation of scripture.  Allegory was inextricably tied with typology.  This approach persisted throughout the middle ages, but is generally not favored by Protestants. "
260,Alumbrados,"Spanish word meaning “the illuminated ones,” a 15th and 16th century mystical movement in Spain that probably contributed to the late 16th-century theology referred to as Quietism. (See <em>dejamiento</em>.). "
262,Amish,"A branch of Anabaptist that broke off from the Mennonites in the 16th Century. (See&nbsp;Anabaptists.)"
264,Amyraldianism,"A branch of Calvinism named after Moses Amyraut and is also referred to as “hypothetical universalism, “four point Calvinism” or “moderate Calvinism.”   Unlike orthodox Calvinism that holds that Christ only suffered and died for the elect (Limited Atonement), Amyraldianism teaches that Christ died to redeem everyone but only those who God has elected to receive the gift of faith and accept Christ benefit from this offer of atonement.  An English Puritan named Richard Baxter was a stanch advocate of this doctrine.
"
