id,Title,Content
28,"Agriculture Develops","c. 10,000 B.C.–5,500 B.C.

Over the course of about 5,000 years, 10 different regions of the Earth independently develop agriculture, the use of land and breeding of animals and plants to provide food, fiber, medicines, and other products to sustain and enhance life.
"
29,"Xia Dynasty (China)","c. 2,070 B.C.

The Xia dynasty possibly rules along the Yellow River in China.  Shrouded in mystery, myth, and legend, subsequent Chinese governments traced their history to the Xia dynasty.  No written records survive from this civilization, but some archeological evidence suggests the Xia dynasty may have been real."
31,"Old Kingdom of Egypt","c. 2,686–2,181 B.C.

The Old Kingdom of Egypt is established, during which many of ancient Egypt’s most well-known achievements were constructed, such as the Giza Pyramids and the Great Sphinx."
36,Crucifixion,"c. A.D. 30

Jesus is crucified."
55,"idea placeholder",
56,"idea 2","Science – The universe and time began in a big bang when an infinite amount energy converted into nearly an infinite amount of subatomic matter that coalesced to form atoms while it all spread out over eons of time to create the material universe today.
"
141,"Romans Destroy Temple","A.D. 70 
The Romans destroy the temple in Jerusalem at the culmination of the Great Jewish Revolt.
"
142,"Marcion excommunicated","A.D. 144 

Marcion excommunicated in Rome."
146,"Irenaeus - <em>Against Heresies</em>","A.D. 180–200 

Irenaeus, bishop of Lyons, writes his influential multi volume treatise, <em>Against Heresies</em>.

Q: testing broken title that displays a tool tip.

cjm"
149,Anselm,"c. A.D. 1033–1109 

Monk, then abbot of Bec in Normandy, then archbishop of Canterbury (1093–1109); the first great medieval theologian of the West who is famous for his account of how Christ’s death made satisfaction for human sin in the treatise <em>Why God Became Man</em>."
153,Aristotle,"384–322 B.C.

Aristotle was a Greek philosopher, student of Plato, founder of the sciences of logic, physics, and biology, whose writings were a major conceptual resource for medieval scholastic theologians, especially Aquinas.
"
154,Arius,"c. A.D. 256–336 

Alexandrian presbyter whose teaching on the Trinity was condemned at the Council of Nicaea 325."
157,Athanasius,"c. A.D. 293–373 

Bishop of Alexandria and early proponent of the Nicene doctrine of the Trinity."
158,Augustine,"A.D. 354–430 

Bishop of Hippo in North Africa, the most influential theologian of the West, known especially for his doctrine of grace, including related doctrines of original sin and predestination.
"
159,"Origen begins teaching","c. A.D. 202

Origen begins his teaching career at age 17 by becoming head of the catechetical school in Alexandria.
"
160,"First Council of Nicaea","A.D. 325 

The First Council of Nicaea (the first ecumenical council) condemns the teaching of Arius and approves a creed containing the <em>homoousios</em> clause."
161,"First Council of Constantinople","A.D. 381 

The First Council of Constantinople (the second ecumenical council) approves an expanded version of the creed of Nicaea, which is today called the Nicene Creed.
"
163,"Council of Ephesus","431 A.D.

The Council of Ephesus (the third ecumenical council), led by Cyril of Alexandria, condemns Nestorius and his Christology; the council emphasizes the unity of Christ by teaching that Mary is <em>theotokos</em> (Mother of God), that the union of divine and human in Christ is hypostatic, and that Christ’s body is lifegiving flesh.
"
